Parameter file, Time taken, Solver nodes, Optimisation flag, Heuristic
Bombastic5_09.param,0.013691,267,-O3,static
Bombastic5_10.param,0.052459,615,-O3,static
Bombastic6_11.param,0.140036,6786,-O3,static
Bombastic6_12.param,0.334917,13737,-O3,static
Bombastic7_14.param,0.002996,0,-O3,static
Bombastic7_15.param,0.032293,1,-O3,static
Bombastic8_15.param,0.269519,18169,-O3,static
Bombastic8_16.param,1.10074,48055,-O3,static
Bombastic9_16.param,0.426539,29331,-O3,static
Bombastic9_17.param,1.89085,85000,-O3,static
Bombastic1_1.param,0.03345,1,-O0,srf
Bombastic2_2.param,0.001951,0,-O0,srf
Bombastic2_3.param,0.032729,1,-O0,srf
Bombastic3_5.param,0.006297,0,-O0,srf
Bombastic3_6.param,0.052819,10,-O0,srf
Bombastic4_7.param,0.028223,248,-O0,srf
Bombastic4_8.param,0.065172,314,-O0,srf
Bombastic5_09.param,0.240719,8451,-O0,srf
Bombastic5_10.param,0.571051,19067,-O0,srf
Bombastic6_11.param,3.03989,114376,-O0,srf
Bombastic6_12.param,9.23398,343658,-O0,srf
Bombastic7_14.param,1.39691,37796,-O0,srf
Bombastic7_15.param,5.25493,159196,-O0,srf
Bombastic8_15.param,4.59895,116373,-O0,srf
Bombastic8_16.param,20.0044,534419,-O0,srf
Bombastic9_16.param,7.78915,205801,-O0,srf
Bombastic9_17.param,35.5959,946285,-O0,srf
Bombastic1_1.param,0.032177,1,-O1,srf
Bombastic2_2.param,0.00045,0,-O1,srf
Bombastic2_3.param,0.036076,1,-O1,srf
Bombastic3_5.param,0.002985,0,-O1,srf
Bombastic3_6.param,0.041157,10,-O1,srf
Bombastic4_7.param,0.003339,0,-O1,srf
Bombastic4_8.param,0.048697,1,-O1,srf
Bombastic5_09.param,0.020828,250,-O1,srf
Bombastic5_10.param,0.05641,233,-O1,srf
Bombastic6_11.param,0.065026,2440,-O1,srf
Bombastic6_12.param,0.163224,5976,-O1,srf
Bombastic7_14.param,0.027117,0,-O1,srf
Bombastic7_15.param,0.075949,1,-O1,srf
Bombastic8_15.param,0.106347,1791,-O1,srf
Bombastic8_16.param,0.228118,4720,-O1,srf
Bombastic9_16.param,0.185647,4027,-O1,srf
Bombastic9_17.param,0.426422,10185,-O1,srf
Bombastic1_1.param,0.032584,1,-O2,srf
Bombastic2_2.param,0.000582,0,-O2,srf
Bombastic2_3.param,0.033651,1,-O2,srf
Bombastic3_5.param,0.000963,0,-O2,srf
Bombastic3_6.param,0.03734,19,-O2,srf
Bombastic4_7.param,0.000836,0,-O2,srf
Bombastic4_8.param,0.033216,1,-O2,srf
Bombastic5_09.param,0.012019,322,-O2,srf
Bombastic5_10.param,0.051599,529,-O2,srf
Bombastic6_11.param,0.363603,20115,-O2,srf
Bombastic6_12.param,1.02422,53988,-O2,srf
Bombastic7_14.param,0.00348,0,-O2,srf
Bombastic7_15.param,0.034502,1,-O2,srf
Bombastic8_15.param,0.454261,19620,-O2,srf
Bombastic8_16.param,1.46429,55190,-O2,srf
Bombastic9_16.param,0.760174,32146,-O2,srf
Bombastic9_17.param,2.54486,94843,-O2,srf
Bombastic1_1.param,0.032904,1,-O3,srf
Bombastic2_2.param,1e-06,0,-O3,srf
Bombastic2_3.param,0.034568,1,-O3,srf
Bombastic3_5.param,0.00048,0,-O3,srf
Bombastic3_6.param,0.035497,19,-O3,srf
Bombastic4_7.param,0.001389,0,-O3,srf
Bombastic4_8.param,0.034052,1,-O3,srf
Bombastic5_09.param,0.01315,322,-O3,srf
Bombastic5_10.param,0.053574,529,-O3,srf
Bombastic6_11.param,0.349171,20115,-O3,srf
Bombastic6_12.param,1.01813,53988,-O3,srf
Bombastic7_14.param,0.004073,0,-O3,srf
Bombastic7_15.param,0.033765,1,-O3,srf
Bombastic8_15.param,0.47943,19620,-O3,srf
Bombastic8_16.param,1.48502,55190,-O3,srf
Bombastic9_16.param,0.783723,32146,-O3,srf
Bombastic9_17.param,2.58964,94843,-O3,srf
